symbol,direction,entry_price,rsi,atr,macd,trend_score,momentum_score,volatility_score,session,sl,tp,mfe,mae,label
EURUSD,SELL,1.170823,68.030798,0.001054,0.000418,75.0,18.030798,0.000506,asia,1.1724,1.16819,0.0,0.0,0
EURUSD,BUY,1.17302,79.981766,0.000863,0.0014,75.0,29.981766,0.000451,london,1.17173,1.17518,0.0,-0.001786,0
EURUSD,BUY,1.173296,54.233483,0.001229,0.001298,40.0,4.233483,0.000641,new_york,1.17145,1.17637,0.003175,-0.00165,1
EURUSD,BUY,1.173434,57.366607,0.001033,0.000789,65.0,7.366607,0.000634,asia,1.17188,1.17602,0.000138,-0.001787,0
EURUSD,BUY,1.174536,65.318246,0.000865,0.000476,75.0,15.318246,0.000648,london,1.17324,1.1767,0.001658,-0.002478,0
EURUSD,BUY,1.173847,60.248697,0.001349,0.000362,65.0,10.248697,0.000678,new_york,1.17182,1.17722,0.003732,-0.000551,1
EURUSD,BUY,1.173847,43.836995,0.00134,0.000138,65.0,6.163005,0.000778,asia,1.17184,1.1772,0.003732,-0.000551,1
EURUSD,BUY,1.175364,50.819695,0.001194,0.000605,40.0,0.819695,0.00092,london,1.17357,1.17835,0.001522,-0.003306,0
EURUSD,BUY,1.172608,44.353557,0.001943,3e-05,65.0,5.646443,0.00092,new_york,1.16969,1.17747,0.003586,-0.003837,0
EURUSD,BUY,1.173571,49.230831,0.001487,-0.000298,40.0,0.769169,0.000942,asia,1.17134,1.17729,0.002623,-0.002611,0
EURUSD,SELL,1.175364,74.36671,0.000886,3.2e-05,75.0,24.36671,0.000666,london,1.17669,1.17315,0.003444,-0.00069,1
EURUSD,SELL,1.170001,24.645888,0.00123,-0.000555,75.0,25.354112,0.000592,new_york,1.17185,1.16693,0.0,0.0,0
EURUSD,SELL,1.172745,34.672465,0.001296,-0.000471,75.0,15.327535,0.000696,asia,1.17469,1.1695,0.000825,-0.000275,0
EURUSD,SELL,1.173434,65.794158,0.000835,-0.000205,75.0,15.794158,0.000714,london,1.17469,1.17135,0.0,0.0,0
EURUSD,SELL,1.17495,65.9217,0.001063,0.000201,75.0,15.9217,0.000394,new_york,1.17654,1.17229,0.003853,-0.003029,1
EURUSD,BUY,1.171921,35.728858,0.001112,-4.4e-05,65.0,14.271142,0.000702,asia,1.17025,1.1747,0.001513,-0.002467,0
EURUSD,SELL,1.167133,22.760181,0.001479,-0.001047,75.0,27.239819,0.000936,london,1.16935,1.16344,0.001496,-0.000136,0
EURUSD,SELL,1.171372,44.092396,0.001778,-0.000707,65.0,5.907604,0.001089,new_york,1.17404,1.16693,0.004511,-0.002874,1
EURUSD,SELL,1.171097,77.532391,0.001047,-0.000413,75.0,27.532391,0.000928,asia,1.17267,1.16848,0.003691,-0.001917,1
EURUSD,SELL,1.166997,13.063328,0.000939,-0.000967,75.0,36.936672,0.000604,london,1.16841,1.16465,0.004071,-0.002311,1
EURUSD,SELL,1.167542,31.631003,0.001228,-0.000845,75.0,18.368997,0.00051,new_york,1.16938,1.16447,0.004616,-0.002856,1
EURUSD,SELL,1.165094,33.900117,0.00105,-0.00109,75.0,16.099883,0.000558,asia,1.16667,1.16247,0.002979,-0.002033,1
EURUSD,SELL,1.16171,28.002299,0.001112,-0.001959,75.0,21.997701,0.000719,london,1.16338,1.15893,0.000674,0.0,0
EURUSD,SELL,1.160901,42.178533,0.00138,-0.001387,65.0,7.821467,0.000875,new_york,1.16297,1.15745,0.000539,0.0,0
EURUSD,SELL,1.164144,53.231496,0.001072,-0.000528,40.0,3.231496,0.000843,asia,1.16575,1.16146,0.003109,-0.001489,1
